date,slot,price
2025-01-01,0,80
2025-01-01,1,80
2025-01-01,2,80
2025-01-01,3,80
2025-01-01,4,80
2025-01-01,5,80
2025-01-01,6,80
2025-01-01,7,80
2025-01-01,8,80
2025-01-01,9,80
2025-01-01,10,80
2025-01-01,11,80
2025-01-01,12,80
2025-01-01,13,80
2025-01-01,14,80
2025-01-01,15,80
2025-01-01,16,82
2025-01-01,17,82
2025-01-01,18,82
2025-01-01,19,82
2025-01-01,20,82
2025-01-01,21,82
2025-01-01,22,82
2025-01-01,23,82
2025-01-01,24,82
2025-01-01,25,82
2025-01-01,26,82
2025-01-01,27,82
2025-01-01,28,82
2025-01-01,29,82
2025-01-01,30,82
2025-01-01,31,82
2025-01-01,32,85
2025-01-01,33,85
2025-01-01,34,85
2025-01-01,35,85
2025-01-01,36,85
2025-01-01,37,85
2025-01-01,38,85
2025-01-01,39,85
2025-01-01,40,85
2025-01-01,41,85
2025-01-01,42,85
2025-01-01,43,85
2025-01-01,44,85
2025-01-01,45,85
2025-01-01,46,85
2025-01-01,47,85
2025-01-01,48,90
2025-01-01,49,90
2025-01-01,50,90
2025-01-01,51,90
2025-01-01,52,90
2025-01-01,53,90
2025-01-01,54,90
2025-01-01,55,90
2025-01-01,56,90
2025-01-01,57,90
2025-01-01,58,90
2025-01-01,59,90
2025-01-01,60,90
2025-01-01,61,90
2025-01-01,62,90
2025-01-01,63,90
2025-01-01,64,100
2025-01-01,65,100
2025-01-01,66,100
2025-01-01,67,100
2025-01-01,68,100
2025-01-01,69,100
2025-01-01,70,100
2025-01-01,71,100
2025-01-01,72,100
2025-01-01,73,100
2025-01-01,74,100
2025-01-01,75,100
2025-01-01,76,100
2025-01-01,77,100
2025-01-01,78,100
2025-01-01,79,100
2025-01-01,80,95
2025-01-01,81,95
2025-01-01,82,95
2025-01-01,83,95
2025-01-01,84,95
2025-01-01,85,95
2025-01-01,86,95
2025-01-01,87,95
2025-01-01,88,95
2025-01-01,89,95
2025-01-01,90,95
2025-01-01,91,95
2025-01-01,92,95
2025-01-01,93,95
2025-01-01,94,95
2025-01-01,95,95
